Rating,NumberOfSupportedDevices,Company,Price,Name
8.7,5,0,10, 'Plants VS Zombies'
7.8,4,0,5, 'Peggle'
4.4,4,0,0, 'The Sims 4'
1.5,4,0,60, 'Fifa 20'
8.4,3,0,40, 'Garden Warfare 2'
8.6,1,1,60, 'Legend of Zelda: Breath of the Wild'
8.9,1,1,60, 'Super Mario Odyssey'
8.6,1,1,60, 'Mario Kart 8 Deluxe'
8.7,1,1,60, 'Super Smash Bros. Ultimate'
8.4,1,1,60, 'Splatoon 2'
5.9,1,1,60, 'Animal Crossing: New Horizons'
8.8,1,1,60, 'Metriod Dread'
3.5,1,1,60, 'Pokemon Scarlet'
8,1,1,60, 'Pokemon Legends: Arceus'
8.3,5,2,20, 'Minecraft'
7.9,2,2,60, 'Halo Infinite'
8.2,3,2,60, 'Forze Horizon 5'
5.7,3,2,40, 'Sea of Theives'
5.1,5,3,0, 'Fortnite'
6.8,5,3,0, 'Fall Guys'
8.5,3,4,60, 'GTA 5'
8.9,3,4,60, Red Dead Redemption 2'
6.2,4,5,70, 'Assasins Creed Shadows'
6.3,2,5,0, 'Rainbow 6 Siege'
5.4,3,5,60, 'Far Cry 6'
5.3,4,5,50, 'Just Dance 2026 Edition'
8.2,2,6,70, 'God of War: Ragnarok'
5.8,1,6,60, 'Last of Us Part 2'
8.7,2,6,70, 'Spider-Man 2'
5.2,3,6,0, 'Destiny 2'